Agency,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Buy Rent Shelters,"Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3468120,250,3,3
Wealthlink Realtors Ltd,"Lavington, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-lavington-3459496,232,3,2
Olympia Gold Real Estate,"Lavington, Kingara Road, Lavington, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-lavington-3417546,110,2,2
Civic Capital,"Elgeyo Marakwet Road, Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3402456,3,3,3
Lighthouse Homes Limited,"BROOKSIDE DRIVE, Westlands Area, Westlands","KSh 90,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3468612,3,3,3
Pmm Properties,"Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3463372,3,3,2
J M Mccarthy Properties Ltd,"Upper Hill, Langata","KSh 90,000",/listings/3-bedroom-apartment-for-rent-upper-hill-1-3456769,3,3,3
Splendor Holdings,"Kileleshwa, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3459449,3,3,
Buy Rent Shelters,"Dennis Pritt, Lavington, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-lavington-3468359,250,3,3
Exella Realty,"Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3460291,3,3,3
Canaan Properties,"Ngong Road, Ngong Road","KSh 90,000",/listings/3-bedroom-apartment-for-rent-ngong-road-3460592,3,3,4
Tysons Limited,"Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3455123,3,3,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3444648,3,3,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3464365,3,3,2
Capstone Properties,"Rhapta Road, Westlands","KSh 90,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3466944,2,2,2
Ring Kenya Ltd,"Ngong Road, Ngong Road","KSh 90,000",/listings/3-bedroom-apartment-for-rent-1-3407479,3,3,3
City Homes Kenya Real Estate,"Riverside Drive, Riverside, Westlands","KSh 90,000",/listings/furnished-1-bedroom-apartment-for-rent-riverside-3458787,1,1,
Blueline Properties 1023,"Crimson Court Along Riverside, Riverside, Westlands","KSh 90,000",/listings/furnished-1-bedroom-apartment-for-rent-riverside-33724,9,1,2
Blueline Properties 1023,"Riverside, Westlands","KSh 90,000",/listings/1-bedroom-apartment-for-rent-riverside-3386103,9,1,2
Ogaye Enterprises,"801181, nyali, Nyali Area, Nyali","KSh 90,000",/listings/2-bedroom-apartment-for-rent-nyali-area-3466681,1400,2,3
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 90,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3464336,3,3,2
Cloud Real Estate,"Kilimani, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-kilimani-3463626,2,2,3
Pam Golding Properties,"Westlands Area, Westlands","KSh 90,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3450281,3,3,3
Kenya Classic Homes,"Lavington, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-lavington-2-3453830,3,3,3
Absolute Estate Agents,"Gitanga road, Lavington, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-lavington-3418992,3,3,
Absolute Estate Agents,"1, Muringa Rd., Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3424863,3,3,5
Absolute Estate Agents,"Kileleshwa, Kileleshwa, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3463317,3,3,3
Absolute Estate Agents,"Kileleshwa, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3463322,3,3,3
Absolute Estate Agents,"Argwings kodhek road, Kilimani, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-kilimani-3466802,2,2,2
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3461110,94,2,3
Malazo Realtors,"Woodlands Rd, Kilimani, Dagoretti North","KSh 90,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-1-44135,2,2,2
Paradigm Homes,"Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3462393,3,3,
Paradigm Homes,"Kileleshwa, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3468428,2,2,
Buy Rent Shelters,"Dennis Pritt, Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467918,3,3,3
Buy Rent Shelters,"Dennis pritt, State House, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-state-house-3467919,3,3,3
Buy Rent Shelters,"Dennis Pritt, Hurlingham, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-hurlingham-3467931,3,3,3
Buy Rent Shelters,"Dennis Pritt, Kilimani, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kilimani-3468245,220,3,3
Symonns Realty,"City Park Drive, Off Limuru Road, Parklands, Westlands","KSh 90,000",/listings/3-bedroom-apartment-for-rent-parklands-2-3444520,11,3,2
Hilltrust Consult,"Westlands Area, Westlands","KSh 90,000",/listings/furnished-1-bedroom-apartment-for-rent-westlands-area-3466663,1,1,1
Castles Cabins Realtors,"Lavington, Dagoretti North","KSh 90,000",/listings/4-bedroom-apartment-for-rent-lavington-3463038,4,4,5
Westside Real Estate,"Kilimani, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-kilimani-3451720,150,2,2
Naftal Properties,"Lavington, Dagoretti North","KSh 90,000",/listings/furnished-1-bedroom-apartment-for-rent-lavington-3466929,1,1,
Apogee Realty Homes,"Riverside Drive, Riverside, Westlands","KSh 90,000",/listings/furnished-1-bedroom-apartment-for-rent-riverside-3460290,1,1,1
Allione Real Estate,"State House, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-state-house-3463194,2,2,2
Fit Property,"Brookside Drive Westlands, Nairobi, Brookside, Westlands","KSh 90,000",/listings/3-bedroom-apartment-for-rent-brookside-3446236,167,3,
Olympia Gold Real Estate,"Riara Road, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-riara-road-3456382,3,3,3
Casapiu Holdings Limited,"Rhapta Road, Westlands","KSh 90,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3468380,3,3,3
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-lavington-3466196,3,3,4
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North","KSh 90,000",/listings/4-bedroom-apartment-for-rent-lavington-3466218,4,4,5
Phillavilla,"Kileleshwa, Dagoretti North","KSh 90,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3465807,3,3,3
Pmm Properties,"Riara road, Riara Road, Dagoretti North","KSh 90,000",/listings/4-bedroom-apartment-for-rent-riara-road-3464030,4,4,4
J M Mccarthy Properties Ltd,"Kileleshwa, Dagoretti North","KSh 90,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3465530,2,2,2
Ace Realtors Limited,"21 05 06, 38 RA, Westlands Area, Westlands","KSh 95,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3468519,185,3,3
Pam Golding Properties,"Westlands Area, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3450226,2,2,2
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-3458579,156,3,3
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands","KSh 95,000",/listings/1-bedroom-apartment-for-rent-riverside-3445244,7,1,1
Mambo Properties Enterprise,"Chania Rd, Kilimani, Dagoretti North","KSh 95,000",/listings/2-bedroom-apartment-for-rent-kilimani-3456075,149,2,2
Regent Management Ltd,"Kilimani, Dagoretti North","KSh 95,000",/listings/4-bedroom-apartment-for-rent-kilimani-3464585,4,4,4
Capstone Properties,"Rhapta Road, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3466917,2,2,
Absolute Estate Agents,"Kilimani, Dagoretti North","KSh 95,000",/listings/2-bedroom-apartment-for-rent-kilimani-2-3453863,2,2,
Absolute Estate Agents,"Lavington, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3454498,3,3,
Paradigm Homes,"Valley Arcade, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-3422831,3,3,
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-3443587,3,3,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-2-3456779,3,3,3
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467404,3,3,3
Dakima Home International,"Raphta Rd, Rhapta Road, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3395579,2,2,2
Dakima Home International,"Raphta rd, Rhapta Road, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3465099,2,2,2
Furnished Rentals,"Kileleshwa, Dagoretti North","KSh 95,000",/listings/furnished-2-bedroom-apartment-for-rent-kileleshwa-3467831,2,2,2
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3468745,2,2,2
Coralinternational Ltd,"Off Riara Road, Lavington, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-lavington-3456768,186,3,2
Coralinternational Ltd,"Mandera Road, Kileleshwa, Dagoretti North","KSh 95,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3457244,2,2,2
Hassconsult,"Waiyaki Way, Westlands Area, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-westlands-area-1-3436826,2,2,
Hassconsult,"Riara Road, Dagoretti North","KSh 95,000",/listings/2-bedroom-apartment-for-rent-riara-road-3461346,2,2,2
Mambo Properties Enterprise,"Rhapta Rd, Rhapta Road, Westlands","KSh 95,000",/listings/1-bedroom-apartment-for-rent-rhapta-road-3444340,7,1,1
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands","KSh 95,000",/listings/1-bedroom-apartment-for-rent-riverside-3455092,8,1,1
Regent Management Ltd,"Mugoiri Road, Kileleshwa, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3464587,3,3,4
Pam Golding Properties,"Kilimani, Dagoretti North","KSh 95,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3459773,3,3,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3458328,3,3,2
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467490,3,3,2
Royani Properties Limited,"Lymack Suites, Kiambu Road, Kiambu Road","KSh 95,000",/listings/furnished-1-bedroom-apartment-for-rent-3460263,1,1,1
Royani Properties Limited,"Suguta Road, Kileleshwa, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3466648,3,3,3
Buy Rent Shelters,"Westlands Area, Westlands","KSh 95,000",/listings/1-bedroom-apartment-for-rent-westlands-area-3458212,1,1,1
Castles Cabins Realtors,"Kileleshwa, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3459540,3,3,
A List Real Estate,"Chiromo rd, Westlands Area, Westlands","KSh 95,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3462090,3,3,2
Tulua Meraki,"Mbaazi Avenue, Lavington, Dagoretti North","KSh 95,000",/listings/2-bedroom-apartment-for-rent-lavington-3458691,95,2,2
Tulua Meraki,"Riara Road, Dagoretti North","KSh 95,000",/listings/2-bedroom-apartment-for-rent-riara-road-3461233,108,2,2
Unique Casles Management Ltd,"Waiyaki Way, Westlands","KSh 95,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3467742,3,3,2
Pmm Properties,"Lavington, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-lavington-3462970,3,3,3
Opus Properties,"Suguta Road, Kileleshwa, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3403999,3,3,4
Swiveltrend Ltd,"Kileleshwa, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3460006,4047,3,
Ace Realtors Limited,"21 05 03, 08 FA, Rhapta Road, Westlands","KSh 95,000",/listings/1-bedroom-apartment-for-rent-rhapta-road-3468189,120,1,1
Ace Realtors Limited,"21 05 05, 17 RA, Westlands Area, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3468445,130,2,2
Stop Properties Real Estate,"Waiyaki Way, Westlands","KSh 95,000",/listings/4-bedroom-apartment-for-rent-waiyaki-way-3464201,4,4,
Canaan Properties,"Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-3465679,3,3,3
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-3461682,3,3,3
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kilimani-3461686,3,3,3
Gimco Limited,"Kilimani, Dagoretti North","KSh 95,000",/listings/4-bedroom-apartment-for-rent-kilimani-3441404,4,4,5
Absolute Estate Agents,"Riara Massions, Maziwa, Nairobi, Nairobi County, KE, Lavington, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-lavington-40555,170,3,3
Paradigm Homes,"Valley Arcade, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-3422867,3,3,4
Gerryville Homes,"Kileleshwa, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3449568,3,3,
Gerryville Homes,"Kileleshwa, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3449568,3,3,
Kingslink Ventures,"MOMBASA ROAD, Mombasa Road, Mombasa Road","KSh 95,000",/listings/2-bedroom-apartment-for-rent-3464990,2,2,2
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North","KSh 95,000",/listings/3-bedroom-apartment-for-rent-lavington-3461652,3,3,3
Crystal Valuers Ltd,"Mararo road, Valley arcade, Lavington, Dagoretti North","KSh 96,000",/listings/4-bedroom-apartment-for-rent-lavington-3466500,4,4,2
Royani Properties Limited,"Chelezo Apartments, Kilimani, Dagoretti North","KSh 98,000",/listings/3-bedroom-apartment-for-rent-kilimani-3457874,150,3,3
Buy Rent Shelters,"Kidaruma, Kilimani, Dagoretti North","KSh 98,000",/listings/3-bedroom-apartment-for-rent-kilimani-3463995,3,3,3
Falcon Sight Properties,"Off Raphta Road, Rhapta Road, Westlands","KSh 98,000",/listings/4-bedroom-apartment-for-rent-rhapta-road-3467441,4,4,4
Nguso Realtors,"Kilimani, Dagoretti North","KSh 98,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467333,3,3,4
Buy Rent Shelters,"Kindaruma Rd , Kilimani, Dagoretti North","KSh 98,000",/listings/3-bedroom-apartment-for-rent-kilimani-3457189,3,3,3
Chelezo Residency,"Kindaruma Road, Kilimani, Dagoretti North","KSh 98,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466790,3,3,3
Coralinternational Ltd,"King'ara Road, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3405792,3,3,2
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3419825,300,3,4
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kilimani-3451039,14,2,2
Kenya Classic Homes,"Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3458051,3,3,
Kenya Classic Homes,"Kileleshwa, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3462491,170,3,4
Kenya Classic Homes,"Kileleshwa, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3468489,230,3,4
Mambo Properties Enterprise,"Riverside, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-riverside-3444357,23,3,3
Mambo Properties Enterprise,"Rose Avenue, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3468525,250,3,3
Green Knight Properties,"Yaya , Tigoni , Kilimani, Dagoretti North","KSh 100,000",/listings/furnished-1-bedroom-apartment-for-rent-kilimani-3395802,120,1,1
Green Knight Properties,"Tigoni, Tigoni, Kilimani, Dagoretti North","KSh 100,000",/listings/furnished-1-bedroom-apartment-for-rent-kilimani-3443053,1,1,1
Regent Management Ltd,"Gitanga/Amboseli Road, Lavington, Dagoretti North","KSh 100,000",/listings/5-bedroom-apartment-for-rent-lavington-3467878,5,5,6
Azizi Realtors,"Kilimani, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kilimani-3466507,2,2,2
Miamu Properties Limited,"2242, Dennis Pritt, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-dennis-pritt-3468536,3,3,4
Paradigm Homes,"Valley Arcade, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-3418039,260,3,4
Paradigm Homes,"Masanduku Lane, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3428130,3,3,4
Royani Properties Limited,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands","KSh 100,000",/listings/furnished-1-bedroom-apartment-for-rent-westlands-area-1-3443860,1,1,1
Ogaye Enterprises,"801181, First avenue, Nyali Area, Nyali","KSh 100,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3466573,2700,3,4
Fit Property,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands","KSh 100,000",/listings/4-bedroom-apartment-for-rent-rhapta-road-3444487,4,4,
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3398174,3,3,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3453631,3,3,3
Wealthlink Realtors Ltd,"Rhapta Road, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3464776,21780,3,3
Apricotsolutions Limited,"Parklands, Westlands","KSh 100,000",/listings/4-bedroom-apartment-for-rent-parklands-1-3455782,4,4,3
Apricotsolutions Limited,"Waiyaki Way, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3463147,3,3,2
Landmark Top Solutions,"Near Valley Arcade, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3407360,180,3,4
Landmark Top Solutions,"Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3434697,160,3,5
Paradigm Homes,"Valley Arcade, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-3418039,260,3,4
Paradigm Homes,"Masanduku Lane, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3428130,3,3,4
Royani Properties Limited,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands","KSh 100,000",/listings/furnished-1-bedroom-apartment-for-rent-westlands-area-1-3443860,1,1,1
Fit Property,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands","KSh 100,000",/listings/4-bedroom-apartment-for-rent-rhapta-road-3444487,4,4,
Good Living Properties Limited,"Waiyaki Way, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3385194,3,3,3
Ws Properties Limited,"Rhapta Road, Westlands","KSh 100,000",/listings/furnished-2-bedroom-apartment-for-rent-rhapta-road-3463950,2,2,2
Lizmor Properties,"Westlands Area, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3466766,3,3,
Dunhill Consulting Limited,"Parklands, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-parklands-3459779,3,3,
Casapiu Holdings Limited,"Rhapta Road, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3462035,3,3,4
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3466475,3,3,3
Furnished Rentals,"Karen, Langata","KSh 100,000",/listings/furnished-2-bedroom-apartment-for-rent-karen-3467945,2,2,2
Pmm Properties,"Oledume Road, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3463119,3,3,2
Pc Properties Real Estate Agency,"Makueni Rd, Kileleshwa, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3466159,3,3,3
Green Knight Properties,"Lenana road, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467123,3,3,3
Canaan Properties,"Milimani, Milimani","KSh 100,000",/listings/furnished-2-bedroom-apartment-for-rent-3468715,2,2,3
Dunhill Consulting Limited,"Parklands, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-parklands-3459779,3,3,
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3456444,3,3,3
Coralinternational Ltd,"Masari Road, Parklands, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-parklands-3460224,3,3,3
Coralinternational Ltd,"Parklands, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-parklands-3446084,3,3,2
Canaan Properties,"Riara Road, Dagoretti North","KSh 100,000",/listings/4-bedroom-apartment-for-rent-riara-road-3461829,4,4,3
Gimco Limited,"Kilimani, Dagoretti North","KSh 100,000",/listings/4-bedroom-apartment-for-rent-kilimani-1-3442827,4,4,
Habitat Realtors International Ltd,"Kolobot Gardens, Kolobot Close, Milimani, Milimani","KSh 100,000",/listings/3-bedroom-apartment-for-rent-milimani-3461886,121,3,2
Mambo Properties Enterprise,"Off Denis Pritt, Kilimani, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kilimani-3456073,14,2,3
Green Knight Properties,"Dennis Pritt, Kilimani, Dagoretti North","KSh 100,000",/listings/furnished-1-bedroom-apartment-for-rent-kilimani-3409647,1,1,1
Regent Management Ltd,"Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3459427,3,3,4
Pam Golding Properties,"Westlands Area, Westlands","KSh 100,000",/listings/4-bedroom-apartment-for-rent-westlands-area-3450280,4,4,3
Pam Golding Properties,"Westlands Area, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3452323,3,3,2
Pam Golding Properties,"Kileleshwa, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3456198,2,2,
Pam Golding Properties,"Westlands Area, Westlands","KSh 100,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3458895,2,2,1
Azizi Realtors,"Lavington, Dagoretti North","KSh 100,000",/listings/4-bedroom-apartment-for-rent-lavington-3461887,4,4,4
Prudential Green Ville,"04, kilimani, Kilimani, Dagoretti North","KSh 100,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3829,3,3,3
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-riverside-3390678,3,3,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3428789,3,3,2
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 100,000",/listings/4-bedroom-apartment-for-rent-kilimani-1-3456780,4,4,4
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3457567,3,3,3
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3459823,3,3,3
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3465106,3,3,3
Sema Estate Agents,"Westlands Area, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3462206,3,3,
Royal Properties Market Limited,"Runda, Westlands","KSh 100,000",/listings/2-bedroom-apartment-for-rent-runda-3459042,2,2,2
Absolute Estate Agents,"Mbaazi road, Mbaazi Road, Lavington, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-lavington-3418991,158,3,
Kimachas Enterprises,"Links road, Nyali voyager, Nyali Area, Nyali","KSh 100,000",/listings/furnished-2-bedroom-apartment-for-rent-nyali-area-3463489,2500,2,2
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3461109,124,2,3
Cobalt Consulting,"Suswa Road, Parklands, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-parklands-3467527,3,3,2
Yellow Market,"near Kasuku Center, Kileleshwa, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3467004,2,2,3
Hilltrust Consult,"Westlands Area, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3466716,3,3,3
Hilltrust Consult,"Westlands Area, Westlands","KSh 100,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3467545,2,2,
Henley Green Realty,"Waiyaki Way, Westlands","KSh 100,000",/listings/2-bedroom-apartment-for-rent-waiyaki-way-3464679,2,2,2
Royal Properties Market Limited,"Runda, Westlands","KSh 100,000",/listings/2-bedroom-apartment-for-rent-runda-3459042,2,2,2
Origin Homes,"Denis Pritt Road, Kilimani, Dagoretti North","KSh 100,000",/listings/furnished-1-bedroom-apartment-for-rent-kilimani-3416882,1,1,1
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-2-3452240,186,3,3
Buy Rent Shelters,"Brookside , Westlands Area, Westlands","KSh 100,000",/listings/2-bedroom-apartment-for-rent-westlands-area-1-3455423,2,2,2
Sky Limits Ventures,"Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3411419,3,3,2
Sky Limits Ventures,"Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467960,3,3,4
Apricotsolutions Limited,"Rhapta Road, Rhapta Road, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3439610,3,3,3
